Date,Value
1992-12-31,67.197994735
1993-01-31,67.27945097
1993-02-28,67.492565565
1993-03-31,67.909587949
1993-04-30,68.529369779
1993-05-31,69.348123804
1993-06-30,70.286857744
1993-07-31,71.04146444
1993-08-31,71.443076367
1993-09-30,71.677564062
1993-10-31,71.989070268
1993-11-30,72.387551919
1993-12-31,72.827069544
1994-01-31,73.368591578
1994-02-28,73.98659709
1994-03-31,74.666527696
1994-04-30,75.53867394
1994-05-31,76.551099381
1994-06-30,77.400237788
1994-07-31,77.954326732
1994-08-31,78.37081101
1994-09-30,78.722596495
1994-10-31,78.958896904
1994-11-30,79.156330325
1994-12-31,79.405153219
1995-01-31,79.766620089
1995-02-28,80.264999949
1995-03-31,80.881613633
1995-04-30,81.621181305
1995-05-31,82.338332145
1995-06-30,82.821788523
1995-07-31,83.105907523
1995-08-31,83.466406115
1995-09-30,84.024462932
1995-10-31,84.554997646
1995-11-30,84.866259166
1995-12-31,85.029100772
1996-01-31,85.193331941
1996-02-29,85.458710371
1996-03-31,85.797884016
1996-04-30,86.239884532
1996-05-31,86.743658806
1996-06-30,87.132424261
1996-07-31,87.268253522
1996-08-31,87.13118716
1996-09-30,86.814823382
1996-10-31,86.543857771
1996-11-30,86.534903742
1996-12-31,86.668493553
1997-01-31,86.79956884
1997-02-28,86.979787555
1997-03-31,87.329606241
1997-04-30,87.88262243
1997-05-31,88.527967459
1997-06-30,88.997824771
1997-07-31,89.134771877
1997-08-31,89.072838887
1997-09-30,89.032143916
1997-10-31,89.066338716
1997-11-30,89.118188579
1997-12-31,89.185188785
1998-01-31,89.259098697
1998-02-28,89.449269902
1998-03-31,89.86739785
1998-04-30,90.446621289
1998-05-31,91.027350237
1998-06-30,91.532367359
1998-07-31,91.993666841
1998-08-31,92.305565636
1998-09-30,92.153695722
1998-10-31,91.636587663
1998-11-30,91.25992942
1998-12-31,91.137013416
1999-01-31,91.092459849
1999-02-28,91.210015955
1999-03-31,91.761099436
1999-04-30,92.679085705
1999-05-31,93.678554531
1999-06-30,94.47416921
1999-07-31,94.931344214
1999-08-31,95.192620074
1999-09-30,95.365296115
1999-10-31,95.493383753
1999-11-30,95.635100539
1999-12-31,95.757313473
2000-01-31,95.890201238
2000-02-29,96.196102314
2000-03-31,96.700362406
2000-04-30,97.318533289
2000-05-31,97.861835641
2000-06-30,98.089683599
2000-07-31,98.142893828
2000-08-31,98.470176993
2000-09-30,99.200350504
2000-10-31,99.912538225
2000-11-30,100.16778996
2000-12-31,100.0
2001-01-31,99.788980368
2001-02-28,99.976844284
2001-03-31,100.65074236
2001-04-30,101.59872953
2001-05-31,102.51240544
