Date,Value
1992-11-30,72.243357913
1992-12-31,71.901437517
1993-01-31,71.651310085
1993-02-28,72.015007222
1993-03-31,72.589493395
1993-04-30,73.0596088
1993-05-31,73.564415833
1993-06-30,74.182927433
1993-07-31,74.529662488
1993-08-31,74.56651296
1993-09-30,74.664685886
1993-10-31,74.767354353
1993-11-30,74.837806957
1993-12-31,74.683199724
1994-01-31,74.577332522
1994-02-28,74.995229985
1994-03-31,75.521123214
1994-04-30,75.74139174
1994-05-31,76.108993993
1994-06-30,76.562663653
1994-07-31,76.748958189
1994-08-31,76.748146331
1994-09-30,76.699147566
1994-10-31,76.737598345
1994-11-30,76.676468383
1994-12-31,76.493946068
1995-01-31,76.393505308
1995-02-28,76.518164034
1995-03-31,76.814823534
1995-04-30,77.179328403
1995-05-31,77.718495388
1995-06-30,78.16879131
1995-07-31,78.296392492
1995-08-31,78.485348244
1995-09-30,78.661745848
1995-10-31,78.585730063
1995-11-30,78.621877035
1995-12-31,78.783113774
1996-01-31,78.805359752
1996-02-29,78.867868793
1996-03-31,79.210869977
1996-04-30,79.710689429
1996-05-31,80.143547339
1996-06-30,80.427509289
1996-07-31,80.575376705
1996-08-31,80.62667195
1996-09-30,80.590174917
1996-10-31,80.560886049
1996-11-30,80.547857209
1996-12-31,80.478949661
1997-01-31,80.465815187
1997-02-28,80.67843746
1997-03-31,81.108049012
1997-04-30,81.59878624
1997-05-31,82.06280108
1997-06-30,82.428480353
1997-07-31,82.572611647
1997-08-31,82.650207213
1997-09-30,82.82635694
1997-10-31,83.044821121
1997-11-30,83.252450417
1997-12-31,83.461119095
1998-01-31,83.694209495
1998-02-28,84.041931804
1998-03-31,84.597746811
1998-04-30,85.256558606
1998-05-31,85.915226156
1998-06-30,86.464210865
1998-07-31,86.959401453
1998-08-31,87.370431663
1998-09-30,87.524270208
1998-10-31,87.646722879
1998-11-30,88.008019456
1998-12-31,88.295943222
1999-01-31,88.350928555
1999-02-28,88.815131123
1999-03-31,89.77091479
1999-04-30,90.571895896
1999-05-31,91.307191563
1999-06-30,92.107796727
1999-07-31,92.627765352
1999-08-31,92.956696952
1999-09-30,93.144225176
1999-10-31,93.197271808
1999-11-30,93.421947256
1999-12-31,94.031258933
2000-01-31,94.551507795
2000-02-29,95.019252456
2000-03-31,95.845904294
2000-04-30,96.753340209
2000-05-31,97.500224854
2000-06-30,98.107359606
2000-07-31,98.679095888
2000-08-31,98.953122546
2000-09-30,99.179690037
2000-10-31,99.674578413
2000-11-30,99.961053107
2000-12-31,100.0
2001-01-31,100.33934479
2001-02-28,101.1639639
2001-03-31,101.96537248
2001-04-30,102.56634063
2001-05-31,103.16787762
2001-06-30,103.74472088
2001-07-31,104.00837547
2001-08-31,103.99335307
2001-09-30,104.07500428
2001-10-31,104.10797625
2001-11-30,103.86255517
2001-12-31,103.66768329
2002-01-31,103.87958797
2002-02-28,104.49250607
2002-03-31,105.26304875
2002-04-30,105.99085375
2002-05-31,106.7659555
2002-06-30,107.46012361
2002-07-31,107.83957306
2002-08-31,107.9225639
2002-09-30,107.92338694
2002-10-31,107.94976351
2002-11-30,108.02902178
2002-12-31,107.93215054
2003-01-31,107.79235392
2003-02-28,107.98860518
2003-03-31,108.49529223
2003-04-30,109.1582745
2003-05-31,109.71415453
2003-06-30,110.00279889
2003-07-31,110.20942736
2003-08-31,110.52975593
2003-09-30,110.57084493
2003-10-31,110.41273168
2003-11-30,110.2859178
2003-12-31,110.1491996
2004-01-31,110.10664097
2004-02-29,110.40586407
2004-03-31,111.16496987
2004-04-30,112.03026531
2004-05-31,112.90458654
2004-06-30,113.7711719
2004-07-31,114.22043757
2004-08-31,114.25436274
2004-09-30,113.94684327
2004-10-31,113.82042282
2004-11-30,114.02313834
2004-12-31,113.82364724
2005-01-31,113.64543595
2005-02-28,114.24212646
2005-03-31,115.46619322
2005-04-30,116.66755764
2005-05-31,117.6927556
2005-06-30,118.62633317
2005-07-31,119.17696269
2005-08-31,119.53064224
2005-09-30,119.88257194
2005-10-31,120.20540801
2005-11-30,120.46188173
2005-12-31,120.39177644
2006-01-31,120.53649595
2006-02-28,121.4183711
2006-03-31,122.43638369
2006-04-30,123.3841456
2006-05-31,124.6998556
2006-06-30,125.92026601
2006-07-31,126.61677689
2006-08-31,126.94923474
2006-09-30,126.83580616
2006-10-31,126.67247253
2006-11-30,126.74551296
2006-12-31,126.78324086
2007-01-31,127.08291778
2007-02-28,127.79606492
2007-03-31,128.93858402
2007-04-30,130.26401474
2007-05-31,131.21641139
2007-06-30,131.90223888
2007-07-31,132.2417741
2007-08-31,131.6869721
2007-09-30,130.88720767
2007-10-31,130.48345304
2007-11-30,129.92979355
2007-12-31,129.36994345
2008-01-31,129.07676058
2008-02-29,128.99587948
2008-03-31,129.15319626
2008-04-30,129.60363196
2008-05-31,130.62199179
2008-06-30,131.60402249
2008-07-31,131.69379086
2008-08-31,131.18618536
2008-09-30,130.72229476
2008-10-31,129.84871133
2008-11-30,128.4196598
2008-12-31,127.14690816
2009-01-31,126.28839793
2009-02-28,126.26039189
2009-03-31,126.86450905
2009-04-30,127.72518976
2009-05-31,128.78767517
2009-06-30,129.6358799
2009-07-31,129.82622956
2009-08-31,129.50157958
2009-09-30,129.26113848
2009-10-31,129.14629771
2009-11-30,128.74655472
2009-12-31,128.14315736
2010-01-31,127.7366802
2010-02-28,127.7387682
2010-03-31,128.22073378
2010-04-30,129.26452012
2010-05-31,130.38564541
2010-06-30,130.56998684
2010-07-31,129.79620092
2010-08-31,128.74515681
2010-09-30,127.40038712
2010-10-31,125.94161142
2010-11-30,125.17460235
2010-12-31,124.78917785
2011-01-31,124.52627158
2011-02-28,124.82822279
2011-03-31,125.43081488
2011-04-30,126.03608035
2011-05-31,126.81965496
2011-06-30,127.58680889
2011-07-31,127.43557345
2011-08-31,126.46977507
2011-09-30,125.76995997
2011-10-31,125.42032905
2011-11-30,125.28159817
2011-12-31,125.33057349
