Date,Value
2018-03-31,2986.0
2018-02-28,2965.0
2018-01-31,2936.0
2017-12-31,2920.0
2017-11-30,2899.0
2017-10-31,2875.0
2017-09-30,2857.0
2017-08-31,2852.0
2017-07-31,2861.0
2017-06-30,2876.0
2017-05-31,2892.0
2017-04-30,2913.0
2017-03-31,2899.0
2017-02-28,2898.0
2017-01-31,2901.0
2016-12-31,2934.0
2016-11-30,2970.0
2016-10-31,3005.0
2016-09-30,3045.0
2016-08-31,3096.0
2016-07-31,3145.0
2016-06-30,3173.0
2016-05-31,3188.0
2016-04-30,3185.0
2016-03-31,3248.0
2016-02-29,3313.0
2016-01-31,3381.0
2015-12-31,3374.0
2015-11-30,3367.0
2015-10-31,3365.0
2015-09-30,3363.0
2015-08-31,3347.0
2015-07-31,3315.0
2015-06-30,3285.0
2015-05-31,3272.0
2015-04-30,3275.0
2015-03-31,3251.0
2015-02-28,3229.0
2015-01-31,3202.0
2014-12-31,3192.0
2014-11-30,3174.0
2014-10-31,3145.0
2014-09-30,3105.0
2014-08-31,3057.0
2014-07-31,3007.0
2014-06-30,2967.0
2014-05-31,2920.0
2014-04-30,2887.0
2014-03-31,2853.0
2014-02-28,2850.0
2014-01-31,2856.0
2013-12-31,2863.0
2013-11-30,2861.0
2013-10-31,2849.0
2013-09-30,2838.0
2013-08-31,2824.0
2013-07-31,2820.0
2013-06-30,2816.0
2013-05-31,2813.0
2013-04-30,2793.0
2013-03-31,2762.0
2013-02-28,2733.0
2013-01-31,2700.0
2012-12-31,2660.0
2012-11-30,2624.0
2012-10-31,2590.0
2012-09-30,2573.0
2012-08-31,2565.0
2012-07-31,2554.0
2012-06-30,2555.0
2012-05-31,2559.0
2012-04-30,2577.0
2012-03-31,2569.0
2012-02-29,2551.0
2012-01-31,2522.0
2011-12-31,2519.0
2011-11-30,2528.0
2011-10-31,2544.0
2011-09-30,2565.0
2011-08-31,2579.0
2011-07-31,2592.0
2011-06-30,2594.0
2011-05-31,2592.0
2011-04-30,2578.0
2011-03-31,2556.0
2011-02-28,2535.0
2011-01-31,2527.0
2010-12-31,2529.0
2010-11-30,2536.0
